,fips
1027,27015.0
1028,27017.0
1029,27019.0
1030,27021.0
1031,27023.0
1032,27025.0
1033,27027.0
1034,27029.0
1035,27031.0
1036,27037.0
1037,27039.0
1038,27041.0
1039,27043.0
1040,27045.0
1041,27047.0
1042,27049.0
1043,27051.0
1044,27053.0
1045,27055.0
1046,27057.0
1047,27059.0
1048,27063.0
1049,27065.0
1050,27071.0
1051,27073.0
1052,27075.0
1053,27077.0
1054,27079.0
1055,27081.0
1056,27083.0
1057,27085.0
1058,27087.0
1059,27089.0
1060,27093.0
1061,27095.0
1062,27097.0
1063,27099.0
1064,27103.0
1065,27107.0
1066,27109.0
1067,27111.0
1068,27113.0
1069,27115.0
1070,27117.0
1071,27119.0
1072,27121.0
1073,27123.0
1074,27125.0
1075,27127.0
1076,27131.0
1077,27133.0
1078,27135.0
1079,27139.0
1080,27141.0
1081,27143.0
1082,27145.0
1083,27147.0
1084,27149.0
1085,27155.0
1086,27157.0
1087,27159.0
1088,27161.0
1089,27165.0
1090,27167.0
1091,27171.0
1092,27173.0
1093,28001.0
1094,28003.0
1095,28005.0
1096,28009.0
1097,28011.0
1098,28013.0
1099,28015.0
1100,28017.0
1101,28019.0
1102,28021.0
1103,28027.0
1104,28029.0
1105,28031.0
1106,28033.0
1107,28035.0
1108,28037.0
1109,28039.0
1110,28041.0
1111,28043.0
1112,28045.0
1113,28047.0
1114,28049.0
1115,28051.0
1116,28053.0
1117,28055.0
1118,28057.0
1119,28059.0
1120,28063.0
1121,28065.0
1122,28067.0
1123,28069.0
1124,28071.0
1125,28073.0
1126,28075.0
1127,28079.0
1128,28081.0
1129,28083.0
1130,28085.0
1131,28087.0
1132,28089.0
1133,28091.0
1134,28095.0
1135,28097.0
1136,28099.0
1137,28101.0
1138,28103.0
1139,28105.0
1140,28107.0
1141,28109.0
1142,28111.0
1143,28115.0
1144,28117.0
1145,28119.0
1146,28121.0
1147,28125.0
1148,28127.0
1149,28129.0
1150,28131.0
1151,28137.0
1152,28139.0
1153,28141.0
1154,28143.0
1155,28145.0
1156,28151.0
1157,28153.0
1158,28155.0
1159,28157.0
1160,28161.0
1161,29001.0
1162,29005.0
1163,29009.0
1164,29011.0
1165,29013.0
1166,29017.0
1167,29021.0
1168,29023.0
1169,29025.0
1170,29029.0
1171,29031.0
1172,29033.0
1173,29035.0
1174,29037.0
1175,29039.0
1176,29041.0
1177,29043.0
1178,29045.0
1179,29051.0
1180,29053.0
1181,29055.0
1182,29057.0
1183,29065.0
1184,29067.0
1185,29071.0
1186,29073.0
1187,29075.0
1188,29081.0
1189,29083.0
1190,29085.0
1191,29087.0
1192,29089.0
1193,29091.0
1194,29093.0
1195,29095.0
1196,29099.0
1197,29101.0
1198,29103.0
1199,29105.0
1200,29107.0
1201,29109.0
1202,29111.0
1203,29113.0
1204,29117.0
1205,29121.0
1206,29123.0
1207,29127.0
1208,29129.0
1209,29131.0
1210,29133.0
1211,29135.0
1212,29137.0
1213,29139.0
1214,29141.0
1215,29147.0
1216,29149.0
1217,29151.0
1218,29153.0
1219,29155.0
1220,29157.0
1221,29161.0
1222,29163.0
1223,29165.0
1224,29167.0
1225,29169.0
1226,29171.0
1227,29177.0
1228,29179.0
1229,29181.0
1230,29186.0
1231,29187.0
1232,29189.0
1233,29195.0
1234,29197.0
1235,29199.0
1236,29201.0
1237,29203.0
1238,29205.0
1239,29207.0
1240,29209.0
1241,29211.0
1242,29213.0
1243,29215.0
1244,29217.0
1245,29221.0
1246,29225.0
1247,29227.0
1248,29229.0
1249,29510.0
1250,30001.0
1251,30003.0
1252,30005.0
1253,30007.0
1254,30009.0
1255,30013.0
1256,30015.0
1257,30017.0
1258,30019.0
1259,30023.0
1260,30025.0
1261,30027.0
1262,30029.0
1263,30031.0
1264,30033.0
1265,30035.0
1266,30037.0
1267,30039.0
1268,30041.0
1269,30043.0
1270,30045.0
1271,30047.0
1272,30049.0
1273,30051.0
1274,30053.0
1275,30055.0
1276,30057.0
1277,30061.0
1278,30063.0
1279,30065.0
1280,30067.0
1281,30069.0
1282,30073.0
1283,30075.0
1284,30077.0
1285,30079.0
1286,30083.0
1287,30089.0
1288,30091.0
1289,30093.0
1290,30095.0
1291,30097.0
1292,30099.0
1293,30103.0
1294,30107.0
1295,30111.0
1296,31003.0
1297,31005.0
1298,31009.0
1299,31011.0
1300,31013.0
